"","N1","hoved","grunn","county","region","Ind","Rv","Gv","maxmin"
"1","natopen","NA","T2-C-1","all","all","CC1",0.218725547855927,0.0872023810339286,0
"2","natopen","NA","T2-C-1","all","all","CC2",0.218725547855927,0.385347626616939,1
"3","natopen","NA","T2-C-2","all","all","CC1",0.198412698619048,0.066666666795,0
"4","natopen","NA","T2-C-2","all","all","CC2",0.198412698619048,0.27999999984,1
"5","natopen","NA","T2-C-3","all","all","CC1",0.173896742490682,0.0400087365495157,0
"6","natopen","NA","T2-C-3","all","all","CC2",0.173896742490682,0.376811718459908,1
"7","natopen","NA","T2-C-4","all","all","CC1",0.121579809322969,0.0284904971201754,0
"8","natopen","NA","T2-C-4","all","all","CC2",0.121579809322969,0.195911910083295,1
"9","natopen","NA","T2-C-5","all","all","CC1",0.20833333352027,0.10653521844566,0
"10","natopen","NA","T2-C-5","all","all","CC2",0.20833333352027,0.333035407219464,1
"11","natopen","NA","T2-C-6","all","all","CC1",0.0946201678021087,0.0133185525240887,0
"12","natopen","NA","T2-C-6","all","all","CC2",0.0946201678021087,0.253938839312494,1
"13","natopen","NA","T2-C-7","all","all","CC1",0.258284574462916,0.163556458216949,0
"14","natopen","NA","T2-C-7","all","all","CC2",0.258284574462916,0.368968609733435,1
"15","natopen","NA","T2-C-8","all","all","CC1",0.240582024756518,0.170062470046427,0
"16","natopen","NA","T2-C-8","all","all","CC2",0.240582024756518,0.325651390267887,1
"17","natopen","NA","T2-C-7_BN","all","all","CC1",0.214405180991395,0.106859362879481,0
"18","natopen","NA","T2-C-7_BN","all","all","CC2",0.214405180991395,0.347613392768055,1
"19","natopen","NA","T2-C-8_BN","all","all","CC1",0.174523009586897,0.0641388799275388,0
"20","natopen","NA","T2-C-8_BN","all","all","CC2",0.174523009586897,0.333513379039609,1
"21","natopen","NA","T8-C-1","all","all","CC1",0.222008546964103,0.095227832621886,0
"22","natopen","NA","T8-C-1","all","all","CC2",0.222008546964103,0.374167673190196,1
"23","natopen","NA","T8-C-2","all","all","CC1",NA,NA,0
"24","natopen","NA","T8-C-2","all","all","CC2",NA,NA,1
"25","natopen","NA","T8-C-3","all","all","CC1",0.151515151636364,0.0246838301842818,0
"26","natopen","NA","T8-C-3","all","all","CC2",0.151515151636364,0.282828282548485,1
"27","natopen","NA","T11-C-1","all","all","CC1",NA,NA,0
"28","natopen","NA","T11-C-1","all","all","CC2",NA,NA,1
"29","natopen","NA","T11-C-2","all","all","CC1",NA,NA,0
"30","natopen","NA","T11-C-2","all","all","CC2",NA,NA,1
"31","natopen","NA","T12-C-1","all","all","CC1",0.485389801440117,0.290212626396909,0
"32","natopen","NA","T12-C-1","all","all","CC2",0.485389801440117,0.847222222166667,1
"33","natopen","NA","T12-C-2","all","all","CC1",0.406940710808767,0.286159641448395,0
"34","natopen","NA","T12-C-2","all","all","CC2",0.406940710808767,0.549194141953103,1
"35","natopen","NA","T13-C-1","all","all","CC1",NA,NA,0
"36","natopen","NA","T13-C-1","all","all","CC2",NA,NA,1
